source,code,country,elevation_ft,frequency_1_frequency,frequency_1_service,frequency_2_frequency,frequency_2_service,frequency_3_frequency,frequency_3_service,latitude,longitude,magnetic_variation,name,state,time_zone,type
vfr,FRE,Australia,,,,,,,,320330S,1154430E,,FREMANTLE,WA,,
vfr,FREM,Australia,,,,,,,,320317S,1154625E,,FREMANTLE GOLF COURSE,WA,,
vfr,FRWV,Australia,,,,,,,,165700S,1454118E,,FRESHWATER VALLEY,QLD,,
vfr,GLGA,Australia,,,,,,,,344300S,1395800E,,GALGA,SA,,
vfr,GGN,Australia,,,,,,,,262558S,1521945E,,GALLANGOWAN,QLD,,
vfr,GAE,Australia,,,,,,,,222300S,1455900E,,GALLILEE,QLD,,
vfr,GWTR,Australia,,,,,,,,235130S,1334800E,,GAOL WATER TOWER,NT,,
vfr,GST,Australia,,,,,,,,311725S,1504105E,,GATE SOUTH,NSW,,
vfr,GWT,Australia,,,,,,,,310115S,1503420E,,GATE WEST,NSW,,
vfr,GWB,Australia,,,,,,,,272645S,1530600E,,GATEWAY BRIDGE,QLD,,
vfr,GWDM,Australia,,,,,,,,343347S,1384616E,,GAWLER DAM,SA,,
vfr,GEK,Australia,,,,,,,,375700S,1453300E,,GEMBROOK,VIC,,
vfr,GRB,Australia,,,,,,,,340012S,1510636E,,GEORGES RIVER BRIDGE,NSW,,
vfr,GEP,Australia,,,,,,,,345100S,1383600E,,GEPPS CROSS,SA,,
vfr,GOY,Australia,,,,,,,,355020S,1465930E,,GEROGERY,NSW,,
vfr,GNR,Australia,,,,,,,,171900S,1462100E,,GIBSON REEF,QLD,,
vfr,GIM,Australia,,,,,,,,191800S,1433600E,,GILBERLAND MINE,QLD,,
vfr,GIRU,Australia,,,,,,,,193045S,1470620E,,GIRU,QLD,,
vfr,GVB,Australia,,,,,,,,335030S,1510848E,,GLADESVILLE BRIDGE,NSW,,
vfr,GBRY,Australia,,,,,,,,355530S,1470030E,,GLEN BRAY,NSW,,
vfr,GBR,Australia,,,,,,,,372530S,1452520E,,GLENBURN,VIC,,
